Image annotation evaluation,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
In addition to this evaluation file I sent you several HTML files containing the pictures themselves as well as their initial tags.,,,,,,,,,,,,,,,,
Your role here is to evaluate each tag which has been generated by one of my algorithms.,,,,,,,,,,,,,,,,
To achieve that simply answer this question : « Does this tag describe the image ? »,,,,,,,,,,,,,,,,
Scale : ,,,,,,,,,,,,,,,,
1 : Strongly Agree,,,,,,,,,,,,,,,,
2 : Agree,,,,,,,,,,,,,,,,
3 : Undecided,,,,,,,,,,,,,,,,
4 : Disagree,,,,,,,,,,,,,,,,
5 : Strongly Disagree,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Example,Example,Example,Example,Example,Example,Example,Example,,,,,,,,
,ID_image, tag1, tag2, tag3, tag4, tag5, tag6, tag7,,,,,,,,
,,5,3,2,5,1,1,2,,,,,,,,
,,,,,,,,,,,,,,,,
,---------------------------------------------------------,,,,,,,,,,,,,,,
,---------------------------------------------------------,,,,,,,,,,,,,,,
,7003760161,Zooming (filmmaking),States of Germany,Electromagnetic radiation,Capital city,Daytime (astronomy),Central Europe,Vertex (geometry),Opium,,,,,,,
,"4,125",1,5,5,5,2,5,5,5,,,,,,,
,,,,,,,,,,,,,,,,
,3497077768,Genus,Flower,Flowering plant,Animals,Archaea,Zooming (filmmaking),Dynamical heterogeneity,Leaf,Phaseolus,,,,,,
,"3,4444444444",5,1,1,5,5,2,5,2,5,,,,,,
,,,,,,,,,,,,,,,,
,5645944509,Building,The Hague,Seawater,Meteorology,Ocean,Hut,Secondary growth,Southern Ocean,Land,Chemical,Cloud physics,Kitchen,Electromagnetic radiation,Banana,
,"3,7142857143",2,4,1,4,1,5,5,5,1,5,4,5,5,5,
,,,,,,,,,,,,,,,,
,5387106851,The Hague,Person,States General of the Netherlands,Germanic peoples,Costume party,Zooming (filmmaking),Makeup,Fashion accessory,Cabinet of the Netherlands,Amsterdam,Caribbean Netherlands,Electromagnetic radiation,Pop music,Nation,
,"3,8571428571",5,1,5,5,4,3,2,1,5,5,5,5,3,5,
,,,,,,,,,,,,,,,,
,2093319410,Rock (geology),Twilight,Gravel,Landform,Secondary growth,wikt:σφαῖρα,Flag semaphore,States of Germany,Sequoia sempervirens,Electromagnetic radiation,Diameter,Eating,Mountains,Capital city,Central Europe
,"4,3333333333",4,5,3,2,5,5,5,5,5,5,2,5,5,5,4
,,,,,,,,,,,,,,,,
,"3,8948412698","3,4","3,2",3,,,,,,,,,,,,
